"id","year","x1","x2","x3","z1","z2","z3","indicator","y","x_sum"
1,1994,-6.16361759160629,3,-0.422027438694195,1.76015288115198,2,1.44940502825928,2,26.458478907993,-3.58564503030048
1,1996,-5.8876538533969,6,-0.254132274033318,1.76015288115198,2,1.44940502825928,NA,34.0957866728677,-0.14178612743022
1,2002,-0.282526117566764,10,0.613666904722058,1.76015288115198,2,1.44940502825928,2,NA,10.3311407871553
1,2006,NA,4,0.652567845051826,1.76015288115198,2,1.44940502825928,2,NA,NA
1,2010,NA,5,0.737048111051272,1.76015288115198,2,1.44940502825928,2,NA,NA
1,2012,NA,8,0.701173416058018,NA,2,1.44940502825928,2,71.4428271273844,NA
1,2020,NA,NA,NA,1.76015288115198,2,1.44940502825928,NA,NA,NA
2,2000,NA,12,-0.0709362983450884,1.85655995471801,3,1.65792855858302,NA,73.0230466117049,NA
2,2004,NA,12,-0.102203671993095,NA,3,1.65792855858302,NA,89.4947988615793,NA
2,2010,27.2306062595561,13,0.345255801165138,1.85655995471801,3,1.65792855858302,NA,NA,40.5758620607212
2,2014,32.1921579640222,NA,0.982112171334109,1.85655995471801,3,1.65792855858302,NA,110.08743860225,NA
3,2012,NA,NA,0.964548617511823,1.91601089627754,2,1.31773434236521,NA,NA,NA
3,2014,NA,NA,0.526701375548796,NA,2,1.31773434236521,NA,94.5870409970747,NA
3,2016,NA,16,NA,1.91601089627754,2,1.31773434236521,1,100.921541017672,NA
4,2004,NA,NA,0.000375328427450472,1.78049651904491,2,1.91397483073349,NA,NA,NA
4,2014,NA,NA,0.754364682407155,1.78049651904491,2,1.91397483073349,NA,85.5499759601773,NA
4,2018,NA,NA,NA,1.78049651904491,2,1.91397483073349,NA,99.1683916769984,NA
5,1992,NA,NA,-0.35006403762871,1.64796556523697,0,3.01078826940362,2,NA,NA
5,2002,NA,NA,-0.151564983824739,1.64796556523697,0,3.01078826940362,NA,81.0190047440223,NA
5,2012,NA,NA,0.721757025749883,NA,0,3.01078826940362,NA,88.6547728464171,NA
5,2018,NA,13,NA,1.64796556523697,0,3.01078826940362,NA,94.2138722645527,NA
6,1990,27.5885979211586,11,-0.20333222008905,1.45683094492467,2,1.99864472403499,NA,78.4862501296113,38.3852657010695
